upstream,mirror_name,tier,public_body,ownership_confidence,default_branch,upstream_archived,size_kb,clone_url,web_url,first_seen,last_seen,last_synced,upstream_pushed_at,status,lfs,fidelity_notes,evidence_url
Cavancoco/AspNetCore.Docs,Cavancoco.AspNetCore.Docs,candidate,Cavan County Council?,low,main,false,789434,https://github.com/Cavancoco/AspNetCore.Docs.git,https://github.com/Cavancoco/AspNetCore.Docs,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/Cavancoco
Cavancoco/cavanweb-app,Cavancoco.cavanweb-app,candidate,Cavan County Council?,low,master,false,102280,https://github.com/Cavancoco/cavanweb-app.git,https://github.com/Cavancoco/cavanweb-app,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/Cavancoco
Cavancoco/PayloadParser,Cavancoco.PayloadParser,candidate,Cavan County Council?,low,master,false,33,https://github.com/Cavancoco/PayloadParser.git,https://github.com/Cavancoco/PayloadParser,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/Cavancoco
data-gov-ie/cso2rdf,data-gov-ie.cso2rdf,candidate,Legacy/civic data-gov.ie project,low,master,false,5744,https://github.com/data-gov-ie/cso2rdf.git,https://github.com/data-gov-ie/cso2rdf,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/data-gov-ie
data-gov-ie/data-gov.ie,data-gov-ie.data-gov.ie,candidate,Legacy/civic data-gov.ie project,low,master,false,602,https://github.com/data-gov-ie/data-gov.ie.git,https://github.com/data-gov-ie/data-gov.ie,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/data-gov-ie
data-gov-ie/service-indicators,data-gov-ie.service-indicators,candidate,Legacy/civic data-gov.ie project,low,master,false,704,https://github.com/data-gov-ie/service-indicators.git,https://github.com/data-gov-ie/service-indicators,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/data-gov-ie
derilinx/ndd-sportireland,derilinx.ndd-sportireland,candidate,Sport Ireland project?,medium,main,false,0,https://github.com/derilinx/ndd-sportireland.git,https://github.com/derilinx/ndd-sportireland,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/derilinx
derilinx/sport-ireland-ndd-templates,derilinx.sport-ireland-ndd-templates,candidate,Sport Ireland project?,medium,main,false,77,https://github.com/derilinx/sport-ireland-ndd-templates.git,https://github.com/derilinx/sport-ireland-ndd-templates,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/derilinx
DLRCOCO/Deerpark,DLRCOCO.Deerpark,candidate,Dún Laoghaire–Rathdown County Council?,low,main,false,35772,https://github.com/DLRCOCO/Deerpark.git,https://github.com/DLRCOCO/Deerpark,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/DLRCOCO
govdataie/old-arts-council,govdataie.old-arts-council,candidate,Legacy Irish public-body datasets?,low,main,false,7,https://github.com/govdataie/old-arts-council.git,https://github.com/govdataie/old-arts-council,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/govdataie
govdataie/old-central-bank,govdataie.old-central-bank,candidate,Legacy Irish public-body datasets?,low,main,false,28,https://github.com/govdataie/old-central-bank.git,https://github.com/govdataie/old-central-bank,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/govdataie
govdataie/old-failte-ireland,govdataie.old-failte-ireland,candidate,Legacy Irish public-body datasets?,low,main,false,13,https://github.com/govdataie/old-failte-ireland.git,https://github.com/govdataie/old-failte-ireland,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/govdataie
govdataie/old-heritage-council,govdataie.old-heritage-council,candidate,Legacy Irish public-body datasets?,low,main,false,18,https://github.com/govdataie/old-heritage-council.git,https://github.com/govdataie/old-heritage-council,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/govdataie
govdataie/old-rte,govdataie.old-rte,candidate,Legacy Irish public-body datasets?,low,main,false,12,https://github.com/govdataie/old-rte.git,https://github.com/govdataie/old-rte,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/govdataie
kerrycoco/kerrycoco,kerrycoco.kerrycoco,candidate,Kerry County Council?,low,master,false,0,https://github.com/kerrycoco/kerrycoco.git,https://github.com/kerrycoco/kerrycoco,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/kerrycoco
kerrycoco/myfirstTest,kerrycoco.myfirstTest,candidate,Kerry County Council?,low,master,false,0,https://github.com/kerrycoco/myfirstTest.git,https://github.com/kerrycoco/myfirstTest,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/kerrycoco
kildarecoco/uv-index,kildarecoco.uv-index,candidate,Kildare County Council?,low,main,false,17,https://github.com/kildarecoco/uv-index.git,https://github.com/kildarecoco/uv-index,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/kildarecoco
OrdnanceSurveyIreland/OracleTeam,OrdnanceSurveyIreland.OracleTeam,candidate,Ordnance Survey Ireland / Tailte Éireann?,low,master,false,0,https://github.com/OrdnanceSurveyIreland/OracleTeam.git,https://github.com/OrdnanceSurveyIreland/OracleTeam,2026-08-11,2026-08-11,,,never-sync,unknown,,https://github.com/OrdnanceSurveyIreland
