upstream,mirror_name,tier,public_body,ownership_confidence,default_branch,upstream_archived,size_kb,clone_url,web_url,first_seen,last_seen,last_synced,synced_pushed_at,upstream_pushed_at,status,lfs,fidelity_notes,evidence_url
covidgreen/base45-js,covidgreen.base45-js,extended,Covid Green / HSE partner project,high,main,false,23,https://github.com/covidgreen/base45-js.git,https://github.com/covidgreen/base45-js,2026-08-11,2026-09-01,2026-08-26,2021-11-30T12:33:13Z,2021-11-30T12:33:13Z,active,unknown,,https://github.com/covidgreen/organization
covidgreen/covid-green-app,covidgreen.covid-green-app,extended,Covid Green / HSE partner project,high,current,false,7248,https://github.com/covidgreen/covid-green-app.git,https://github.com/covidgreen/covid-green-app,2026-08-11,2026-09-01,2026-08-27,2023-01-26T22:38:52Z,2023-01-26T22:38:52Z,active,unknown,,https://github.com/covidgreen/organization
covidgreen/covid-green-assets,covidgreen.covid-green-assets,extended,Covid Green / HSE partner project,high,current,true,15,https://github.com/covidgreen/covid-green-assets.git,https://github.com/covidgreen/covid-green-assets,2026-08-11,2026-09-01,2026-08-26,2020-07-20T13:01:13Z,2020-07-20T13:01:13Z,active,unknown,,https://github.com/covidgreen/organization
covidgreen/covid-green-backend-api,covidgreen.covid-green-backend-api,extended,Covid Green / HSE partner project,high,current,false,682,https://github.com/covidgreen/covid-green-backend-api.git,https://github.com/covidgreen/covid-green-backend-api,2026-08-11,2026-09-01,2026-08-26,2022-08-17T08:32:27Z,2022-08-17T08:32:27Z,active,unknown,,https://github.com/covidgreen/organization
covidgreen/covid-green-dcc-decoder,covidgreen.covid-green-dcc-decoder,extended,Covid Green / HSE partner project,high,main,false,2382,https://github.com/covidgreen/covid-green-dcc-decoder.git,https://github.com/covidgreen/covid-green-dcc-decoder,2026-08-11,2026-09-01,2026-08-26,2021-12-21T21:42:32Z,2021-12-21T21:42:32Z,active,unknown,,https://github.com/covidgreen/organization
covidgreen/covid-green-dcc-file-decoder,covidgreen.covid-green-dcc-file-decoder,extended,Covid Green / HSE partner project,high,main,false,20828,https://github.com/covidgreen/covid-green-dcc-file-decoder.git,https://github.com/covidgreen/covid-green-dcc-file-decoder,2026-08-11,2026-09-01,2026-08-27,2022-03-25T15:13:43Z,2022-03-25T15:13:43Z,active,unknown,,https://github.com/covidgreen/organization
covidgreen/covid-green-dcc-verifier,covidgreen.covid-green-dcc-verifier,extended,Covid Green / HSE partner project,high,main,false,1823,https://github.com/covidgreen/covid-green-dcc-verifier.git,https://github.com/covidgreen/covid-green-dcc-verifier,2026-08-11,2026-09-01,2026-08-26,2021-12-14T09:37:45Z,2021-12-14T09:37:45Z,active,unknown,,https://github.com/covidgreen/organization
covidgreen/covid-green-infra,covidgreen.covid-green-infra,extended,Covid Green / HSE partner project,high,current,false,1299,https://github.com/covidgreen/covid-green-infra.git,https://github.com/covidgreen/covid-green-infra,2026-08-11,2026-09-01,2026-08-26,2021-05-17T12:50:57Z,2021-05-17T12:50:57Z,active,unknown,,https://github.com/covidgreen/organization
covidgreen/covid-green-interoperability-infra,covidgreen.covid-green-interoperability-infra,extended,Covid Green / HSE partner project,high,current,false,38,https://github.com/covidgreen/covid-green-interoperability-infra.git,https://github.com/covidgreen/covid-green-interoperability-infra,2026-08-11,2026-09-01,2026-08-26,2020-10-28T17:29:39Z,2020-10-28T17:29:39Z,active,unknown,,https://github.com/covidgreen/organization
covidgreen/covid-green-interoperability-service,covidgreen.covid-green-interoperability-service,extended,Covid Green / HSE partner project,high,current,false,133,https://github.com/covidgreen/covid-green-interoperability-service.git,https://github.com/covidgreen/covid-green-interoperability-service,2026-08-11,2026-09-01,2026-08-26,2021-03-30T09:25:24Z,2021-03-30T09:25:24Z,active,unknown,,https://github.com/covidgreen/organization
