archive_tier,mirror_by_default,ownership_confidence,public_body_or_project,forge,repository,web_url,clone_url,default_branch,archived,visibility,size_kb,evidence_url,evidence_note,notes
adjacent,no,none,Independent legislation mirror,GitHub,legalize-dev/legalize-ie,https://github.com/legalize-dev/legalize-ie,https://github.com/legalize-dev/legalize-ie.git,main,false,public,60410,https://github.com/legalize-dev/legalize-ie,README explicitly describes an independent derivative of official Oireachtas data.,"Useful companion archive, but not government-owned or government-developed."
candidate,no,low,Cavan County Council?,GitHub,Cavancoco/AspNetCore.Docs,https://github.com/Cavancoco/AspNetCore.Docs,https://github.com/Cavancoco/AspNetCore.Docs.git,main,false,public,789434,https://github.com/Cavancoco,"Exact-style namespace, but no authoritative cross-link was found.",Could be staff/vendor/personal; verify with the council.
candidate,no,low,Cavan County Council?,GitHub,Cavancoco/cavanweb-app,https://github.com/Cavancoco/cavanweb-app,https://github.com/Cavancoco/cavanweb-app.git,master,false,public,102280,https://github.com/Cavancoco,"Exact-style namespace, but no authoritative cross-link was found.",Could be staff/vendor/personal; verify with the council.
candidate,no,low,Cavan County Council?,GitHub,Cavancoco/PayloadParser,https://github.com/Cavancoco/PayloadParser,https://github.com/Cavancoco/PayloadParser.git,master,false,public,33,https://github.com/Cavancoco,"Exact-style namespace, but no authoritative cross-link was found.",Could be staff/vendor/personal; verify with the council.
candidate,no,low,Legacy/civic data-gov.ie project,GitHub,data-gov-ie/cso2rdf,https://github.com/data-gov-ie/cso2rdf,https://github.com/data-gov-ie/cso2rdf.git,master,false,public,5744,https://github.com/data-gov-ie,Profile points to the obsolete data-gov.ie domain and predates the current data.gov.ie initiative.,Do not confuse with the official modern data.gov.ie service.
candidate,no,low,Legacy/civic data-gov.ie project,GitHub,data-gov-ie/data-gov.ie,https://github.com/data-gov-ie/data-gov.ie,https://github.com/data-gov-ie/data-gov.ie.git,master,false,public,602,https://github.com/data-gov-ie,Profile points to the obsolete data-gov.ie domain and predates the current data.gov.ie initiative.,Do not confuse with the official modern data.gov.ie service.
candidate,no,low,Legacy/civic data-gov.ie project,GitHub,data-gov-ie/service-indicators,https://github.com/data-gov-ie/service-indicators,https://github.com/data-gov-ie/service-indicators.git,master,false,public,704,https://github.com/data-gov-ie,Profile points to the obsolete data-gov.ie domain and predates the current data.gov.ie initiative.,Do not confuse with the official modern data.gov.ie service.
candidate,no,medium,Sport Ireland project?,GitHub,derilinx/ndd-sportireland,https://github.com/derilinx/ndd-sportireland,https://github.com/derilinx/ndd-sportireland.git,main,false,public,0,https://github.com/derilinx,"Repository names/README refer to Sport Ireland, but direct commissioning evidence was not found.",Vendor-owned; verify before treating as government-produced.
candidate,no,medium,Sport Ireland project?,GitHub,derilinx/sport-ireland-ndd-templates,https://github.com/derilinx/sport-ireland-ndd-templates,https://github.com/derilinx/sport-ireland-ndd-templates.git,main,false,public,77,https://github.com/derilinx,"Repository names/README refer to Sport Ireland, but direct commissioning evidence was not found.",Vendor-owned; verify before treating as government-produced.
candidate,no,low,Dún Laoghaire–Rathdown County Council?,GitHub,DLRCOCO/Deerpark,https://github.com/DLRCOCO/Deerpark,https://github.com/DLRCOCO/Deerpark.git,main,false,public,35772,https://github.com/DLRCOCO,"Exact-style namespace and a tree-related repository, but no authoritative cross-link was found.",Verify ownership before mirroring as government code.
candidate,no,low,Legacy Irish public-body datasets?,GitHub,govdataie/old-arts-council,https://github.com/govdataie/old-arts-council,https://github.com/govdataie/old-arts-council.git,main,false,public,7,https://github.com/govdataie,Unbranded user account contains repositories named for Irish public bodies.,Not proven to be operated by data.gov.ie or another public body.
candidate,no,low,Legacy Irish public-body datasets?,GitHub,govdataie/old-central-bank,https://github.com/govdataie/old-central-bank,https://github.com/govdataie/old-central-bank.git,main,false,public,28,https://github.com/govdataie,Unbranded user account contains repositories named for Irish public bodies.,Not proven to be operated by data.gov.ie or another public body.
candidate,no,low,Legacy Irish public-body datasets?,GitHub,govdataie/old-failte-ireland,https://github.com/govdataie/old-failte-ireland,https://github.com/govdataie/old-failte-ireland.git,main,false,public,13,https://github.com/govdataie,Unbranded user account contains repositories named for Irish public bodies.,Not proven to be operated by data.gov.ie or another public body.
candidate,no,low,Legacy Irish public-body datasets?,GitHub,govdataie/old-heritage-council,https://github.com/govdataie/old-heritage-council,https://github.com/govdataie/old-heritage-council.git,main,false,public,18,https://github.com/govdataie,Unbranded user account contains repositories named for Irish public bodies.,Not proven to be operated by data.gov.ie or another public body.
candidate,no,low,Legacy Irish public-body datasets?,GitHub,govdataie/old-rte,https://github.com/govdataie/old-rte,https://github.com/govdataie/old-rte.git,main,false,public,12,https://github.com/govdataie,Unbranded user account contains repositories named for Irish public bodies.,Not proven to be operated by data.gov.ie or another public body.
candidate,no,low,Kerry County Council?,GitHub,kerrycoco/kerrycoco,https://github.com/kerrycoco/kerrycoco,https://github.com/kerrycoco/kerrycoco.git,master,false,public,0,https://github.com/kerrycoco,"Exact-style namespace, but no authoritative cross-link was found.",Verify with the council.
candidate,no,low,Kerry County Council?,GitHub,kerrycoco/myfirstTest,https://github.com/kerrycoco/myfirstTest,https://github.com/kerrycoco/myfirstTest.git,master,false,public,0,https://github.com/kerrycoco,"Exact-style namespace, but no authoritative cross-link was found.",Verify with the council.
candidate,no,low,Kildare County Council?,GitHub,kildarecoco/uv-index,https://github.com/kildarecoco/uv-index,https://github.com/kildarecoco/uv-index.git,main,false,public,17,https://github.com/kildarecoco,"Exact-style namespace, but no authoritative cross-link was found.",Verify with the council.
candidate,no,low,Ordnance Survey Ireland / Tailte Éireann?,GitHub,OrdnanceSurveyIreland/OracleTeam,https://github.com/OrdnanceSurveyIreland/OracleTeam,https://github.com/OrdnanceSurveyIreland/OracleTeam.git,master,false,public,0,https://github.com/OrdnanceSurveyIreland,Exact-style namespace only; no authoritative cross-link was found.,Verify ownership before mirroring as government code.
core,yes,high,Central Statistics Office,GitHub,CSOIreland/bootstrap-toggle,https://github.com/CSOIreland/bootstrap-toggle,https://github.com/CSOIreland/bootstrap-toggle.git,master,false,public,197,https://github.com/CSOIreland,GitHub profile identifies the Central Statistics Office and links to cso.ie.,"Includes every public repository in the verified namespace, including forks, documentation and archived repositories."
core,yes,high,Central Statistics Office,GitHub,CSOIreland/Client-API-Library,https://github.com/CSOIreland/Client-API-Library,https://github.com/CSOIreland/Client-API-Library.git,master,false,public,1331,https://github.com/CSOIreland,GitHub profile identifies the Central Statistics Office and links to cso.ie.,"Includes every public repository in the verified namespace, including forks, documentation and archived repositories."
core,yes,high,Central Statistics Office,GitHub,CSOIreland/Code-Transcompiler-using-LLMs-public,https://github.com/CSOIreland/Code-Transcompiler-using-LLMs-public,https://github.com/CSOIreland/Code-Transcompiler-using-LLMs-public.git,main,false,public,248,https://github.com/CSOIreland,GitHub profile identifies the Central Statistics Office and links to cso.ie.,"Includes every public repository in the verified namespace, including forks, documentation and archived repositories."
core,yes,high,Central Statistics Office,GitHub,CSOIreland/CSO2FA,https://github.com/CSOIreland/CSO2FA,https://github.com/CSOIreland/CSO2FA.git,main,false,public,152,https://github.com/CSOIreland,GitHub profile identifies the Central Statistics Office and links to cso.ie.,"Includes every public repository in the verified namespace, including forks, documentation and archived repositories."
core,yes,high,Central Statistics Office,GitHub,CSOIreland/CSOAutomapper,https://github.com/CSOIreland/CSOAutomapper,https://github.com/CSOIreland/CSOAutomapper.git,main,false,public,159855,https://github.com/CSOIreland,GitHub profile identifies the Central Statistics Office and links to cso.ie.,"Includes every public repository in the verified namespace, including forks, documentation and archived repositories."
core,yes,high,Central Statistics Office,GitHub,CSOIreland/CSOBSTheme,https://github.com/CSOIreland/CSOBSTheme,https://github.com/CSOIreland/CSOBSTheme.git,main,false,public,20093,https://github.com/CSOIreland,GitHub profile identifies the Central Statistics Office and links to cso.ie.,"Includes every public repository in the verified namespace, including forks, documentation and archived repositories."
core,yes,high,Central Statistics Office,GitHub,CSOIreland/csodata,https://github.com/CSOIreland/csodata,https://github.com/CSOIreland/csodata.git,main,false,public,160,https://github.com/CSOIreland,GitHub profile identifies the Central Statistics Office and links to cso.ie.,"Includes every public repository in the verified namespace, including forks, documentation and archived repositories."
